Название магазина,Дата и время,Долгота,Широта,Категория,Бренд,Номер карты,Количество товаров,Стоимость
ТехноНИКОЛЬ,2024-08-18 17:31,30.526859,59.620811,Инструменты и оборудование,Ridgid,5342601104348744,5,19000
СтройХаус,2016-09-25 13:40,30.372729,59.95475,Садовый декор,Plow & Hearth,5176473015938898,13,19000
Афоня,2016-12-30 17:52,30.349203,60.05041,Садовый декор,Sunnydaze Decor,5176473015938898,5,17000
OBI,2020-06-06 17:21,30.518781,59.894747,Лестницы и стремянки,Tubesca,5176473015938898,43,8000
Максидом,2019-12-01 22:25,30.38423,60.002149,Кровельные материалы,Shinglas,5176473015938898,19,1800
Азбука вкуса,2023-05-24 13:30,30.314909,59.90529,Снеки и чипсы,Wise,5176473015938898,6,130
Авто Стори,2015-01-06 09:34,30.385865,59.892103,Автомобильные аптечки и аварийные наборы,СТАРТ,5583345835834815,19,1700
Дизель спот,2012-10-13 19:26,30.468788,59.960016,Топливные системы,Valeo,5583345835834815,13,9500
Сатурн,2023-09-12 21:35,30.285301,59.993934,Строительные материалы,LafargeHolcim,5583345835834815,13,3200
Афоня,2020-12-22 16:39,30.42897,59.951745,Садовый инвентарь,Einhell,5583345835834815,27,3600
ТехноНИКОЛЬ,2013-12-10 09:24,30.526859,59.620811,Гипсокартон и комплектующие,Kreisel,5583345835834815,29,390
DNS,2023-08-04 15:54,30.347812,59.915074,Компьютерные периферийные устройства,Turtle Beach,4658827947585761,23,14000
Мастеровой,2021-11-27 11:44,30.313991,59.926244,Системы водоснабжения,BWT,4658827947585761,9,26000
Максидом,2023-07-29 17:29,30.38423,60.002149,Освещение,Halo Lighting,4658827947585761,5,1850
PisterGSM,2021-07-09 17:43,30.36603,59.932429,Сетевое оборудование,Cisco,5484387733366158,14,15000
ТехноНИКОЛЬ,2022-10-29 20:51,30.526859,59.620811,Вентиляция и кондиционирование,Gree,5411594436820545,13,90000
VAG Club,2016-02-11 16:39,30.444139,60.000501,Подвеска и рулевое управление,Sachs,5411594436820545,10,13000
DreamWhite,2012-04-22 14:02,30.304204,59.960815,Одежда для дома,Next,5411594436820545,14,2000
Дон Телефон,2012-12-18 21:05,30.321769,59.927084,Накопители данных,Verbatim,5228281012962830,5,5000
Авто Стори,2019-06-25 12:17,30.385865,59.892103,Автоинструменты и оборудование,OTC Tools,5228281012962830,48,12000
М.Видео,2021-01-15 15:17,30.511585,59.894069,Принтеры и сканеры,Konica Minolta,5228281012962830,28,29000
Ситилинк,2020-12-24 22:16,30.318287,59.787853,Программируемые устройства,Texas Instruments,5228281012962830,5,4200
Дизель спот,2021-07-19 08:28,30.468788,59.960016,Шины и диски,Yokohama,5228281012962830,6,10500
Афоня,2016-08-04 12:04,30.179832,59.86322,Освещение,Westinghouse,4276778394666452,5,1250
М-Стерео,2012-07-18 23:08,30.367216,59.935317,Системы безопасности,Swann,4276778394666452,29,18000
Barleone,2019-09-03 20:45,30.293232,59.959192,Спортивные костюмы,Hummel,4276778394666452,23,7000
Дикси,2021-11-21 15:02,30.332151,59.926595,Бакалея,Mistral,4276778394666452,44,150
Максидом,2016-02-11 18:04,30.267628,59.95185,Крепеж и метизы,Bosch,4042737246924385,21,4200
Афоня,2023-04-01 19:36,30.179832,59.86322,Кровельные материалы,Isola,4042737246924385,6,2300
Дикси,2023-08-06 09:02,30.356094,59.927022,Чай и кофе,Illy,4042737246924385,13,350
Авто Стори,2024-02-01 21:23,30.47283,59.885293,Автомобильные лампы и освещение,Bosch,4042737246924385,5,1600
Лемана Про,2013-01-04 12:17,30.09623,59.851937,Инструменты и оборудование,Husqvarna,5341306991172334,23,26000
Дизель спот,2012-08-25 21:36,30.468788,59.960016,Электрооборудование,Bosch,5341306991172334,5,15000
Перекрёсток,2024-04-02 15:43,30.315693,59.935887,Диетические продукты,Purely Inspired,4274995775308615,5,1600
Дизель спот,2015-09-04 20:48,30.444036,59.950531,Трансмиссии,Exedy,4274995775308615,5,100000
Eurospar,2012-01-06 19:33,30.34596,59.928669,Экологически чистые продукты,Natumi,4023121062891542,5,190
Barleone,2018-07-09 17:50,30.293232,59.959192,Домашняя одежда,Ralph Lauren,4023121062891542,39,3800
Автотрейд,2022-09-22 17:06,30.169871,59.815811,Шины и диски,Uniroyal,4023121062891542,5,8500
VAG Club,2024-06-07 07:49,30.444139,60.000501,Автозвук и мультимедиа,Clarion,4245427665113270,5,12000
Дизель спот,2019-07-19 12:50,30.235619,59.993021,Автомобильные аксессуары,Curt,4245427665113270,22,5000
Авто Стори,2023-05-22 13:38,30.47283,59.885293,Электрооборудование,Bremi,4245440947401970,5,9500
Телемаркет24,2020-10-22 23:13,30.355724,59.922592,Компьютерные периферийные устройства,Sennheiser,5209543576644533,8,20000
Ашан,2024-11-04 18:21,30.400781,59.899965,Консервы,Флотский,5209543576644533,21,105
Петрович,2019-04-10 15:46,30.156532,59.585724,Крепеж и метизы,INDEX Fixing Systems,5209543576644533,5,3900
Ситилинк,2015-10-08 14:03,30.3582,59.947342,Телевизоры,Hitachi,5209543576644533,38,24000
Автотрейд,2017-06-22 12:45,30.382569,59.889669,Трансмиссии,Exedy,5484541833556133,5,100000
Barleone,2020-06-13 21:51,30.293232,59.959192,Аксессуары,Burberry,5484541833556133,5,35000
OBI,2020-02-08 20:49,30.349319,59.871277,Садовая мебель,Talenti,5484541833556133,5,65000
Авто Стори,2022-12-14 20:09,30.385865,59.892103,Электрооборудование,Bremi,5484541833556133,7,9500
Мастеровой,2014-02-11 13:09,30.313991,59.926244,Вентиляция и кондиционирование,Carrier,5521759656094882,6,135000
DreamWhite,2022-05-25 14:30,30.304204,59.960815,Эко-одежда,Allbirds,5521759656094882,5,8000
PisterGSM,2024-12-28 19:39,30.36603,59.932429,Ноутбуки,Sony,5521759656094882,5,80000
VAG Club,2013-01-08 23:34,30.22647,59.996275,Электрооборудование,Bremi,4274490363408754,5,9500
Телемаркет24,2021-03-24 20:17,30.473981,59.946175,Принтеры и сканеры,Ricoh,4274490363408754,35,28000
